iter	Passed	Remaining
0	2	2837
1	5	2825
2	8	2800
3	11	2783
4	13	2689
5	15	2611
6	18	2564
7	20	2550
8	22	2517
9	25	2495
10	28	2589
11	31	2565
12	34	2611
13	36	2594
14	39	2607
15	42	2614
16	45	2618
17	48	2621
18	50	2621
19	53	2627
20	56	2625
21	58	2622
22	61	2621
23	64	2620
24	67	2625
25	70	2627
26	73	2635
27	76	2639
28	78	2638
29	81	2648
30	84	2648
31	87	2643
32	90	2637
33	92	2632
34	95	2627
35	97	2621
36	100	2617
37	103	2615
38	106	2612
39	108	2609
40	111	2606
41	114	2605
42	116	2603
43	119	2600
44	122	2596
45	125	2596
46	127	2593
47	130	2589
48	133	2588
49	136	2586
50	139	2586
51	142	2589
52	145	2594
53	148	2595
54	150	2593
55	153	2590
56	156	2587
57	159	2586
58	162	2584
59	164	2583
60	167	2581
61	170	2578
62	173	2576
63	175	2573
64	178	2571
65	181	2569
66	184	2566
67	187	2564
68	189	2562
69	192	2560
70	195	2559
71	198	2558
72	201	2559
73	204	2558
74	207	2555
75	210	2553
76	212	2553
77	215	2551
78	218	2552
79	221	2550
80	224	2550
81	227	2548
82	230	2548
83	233	2547
84	236	2547
85	239	2544
86	242	2543
87	244	2538
88	247	2533
89	250	2528
90	252	2524
91	255	2520
92	258	2519
93	261	2524
94	265	2527
95	268	2528
96	271	2526
97	274	2525
98	278	2534
99	281	2532
100	284	2531
101	287	2529
102	290	2528
103	293	2528
104	296	2527
105	300	2531
106	303	2533
107	306	2533
108	310	2534
109	313	2533
110	316	2534
111	319	2532
112	322	2533
113	326	2533
114	329	2534
115	332	2534
116	335	2533
117	339	2534
118	342	2533
119	345	2532
120	347	2527
121	350	2525
122	353	2523
123	356	2520
124	359	2518
125	362	2515
126	365	2513
127	368	2512
128	371	2510
129	374	2508
130	377	2507
131	381	2505
132	384	2504
133	387	2503
134	390	2501
135	393	2500
136	396	2497
137	399	2494
138	402	2493
139	405	2489
140	408	2487
141	411	2484
142	414	2481
143	416	2478
144	420	2477
145	423	2475
146	426	2473
147	429	2471
148	432	2468
149	435	2466
150	438	2464
151	441	2461
152	444	2458
153	446	2455
154	449	2452
155	453	2451
156	456	2449
157	458	2441
158	461	2439
159	464	2437
160	467	2435
161	470	2431
162	472	2428
163	475	2426
164	478	2423
165	481	2420
166	484	2418
167	487	2415
168	490	2412
169	493	2410
170	496	2408
171	499	2406
172	502	2403
173	505	2400
174	508	2397
175	511	2396
176	514	2393
177	517	2390
178	520	2387
179	523	2385
180	526	2381
181	529	2379
182	532	2376
183	535	2373
184	538	2371
185	541	2368
186	544	2365
187	546	2362
188	549	2359
189	552	2356
190	555	2354
191	558	2351
192	561	2348
193	564	2345
194	567	2342
195	570	2339
196	573	2336
197	576	2334
198	579	2331
199	582	2329
200	585	2326
201	588	2324
202	591	2322
203	594	2319
204	597	2316
205	600	2313
206	603	2311
207	606	2307
208	609	2305
209	612	2303
210	614	2299
211	617	2296
212	620	2292
213	623	2289
214	626	2286
215	628	2282
216	631	2279
217	634	2275
218	637	2272
219	640	2269
220	643	2267
221	646	2264
222	649	2261
223	652	2258
224	654	2255
225	657	2252
226	660	2249
227	663	2247
228	666	2243
229	669	2241
230	672	2238
231	675	2235
232	678	2232
233	680	2229
234	683	2226
235	686	2223
236	689	2220
237	692	2216
238	694	2212
239	697	2208
240	699	2204
241	702	2200
242	705	2196
243	707	2193
244	710	2189
245	713	2185
246	715	2182
247	718	2178
248	721	2175
249	724	2172
250	726	2169
251	729	2165
252	732	2162
253	735	2159
254	737	2155
255	740	2152
256	743	2149
257	745	2145
258	748	2141
259	751	2137
260	754	2135
261	756	2131
262	759	2128
263	762	2125
264	764	2121
265	767	2118
266	770	2114
267	772	2110
268	775	2107
269	778	2103
270	780	2100
271	783	2096
272	785	2093
273	788	2089
274	791	2085
275	793	2082
276	796	2078
277	799	2075
278	801	2072
279	804	2068
280	807	2065
281	809	2062
282	812	2058
283	815	2054
284	817	2051
285	820	2047
286	822	2043
287	825	2040
288	827	2036
289	830	2033
290	833	2029
291	835	2026
292	838	2023
293	841	2019
294	843	2016
295	846	2012
296	848	2009
297	851	2005
298	853	2001
299	856	1997
300	858	1994
301	861	1991
302	864	1988
303	867	1985
304	869	1982
305	872	1978
306	875	1975
307	877	1970
308	879	1967
309	882	1964
310	885	1960
311	887	1957
312	890	1954
313	892	1950
314	895	1947
315	898	1944
316	900	1941
317	903	1937
318	906	1934
319	908	1931
320	911	1928
321	914	1925
322	916	1921
323	919	1918
324	922	1915
325	924	1912
326	927	1908
327	930	1905
328	932	1902
329	935	1899
330	938	1896
331	940	1892
332	943	1889
333	946	1886
334	948	1883
335	951	1880
336	954	1877
337	956	1874
338	959	1871
339	962	1867
340	964	1864
341	967	1861
342	970	1858
343	973	1855
344	975	1852
345	978	1849
346	981	1846
347	983	1842
348	986	1840
349	989	1836
350	991	1833
351	994	1830
352	996	1826
353	999	1823
354	1002	1821
355	1005	1818
356	1007	1815
357	1010	1812
358	1013	1809
359	1016	1806
