,Gender,Age,Debt,BankCustomer,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,ZipCode,Income,Approved,Industry_CommunicationServices,Industry_ConsumerDiscretionary,Industry_ConsumerStaples,Industry_Education,Industry_Energy,Industry_Financials,Industry_Healthcare,Industry_Industrials,Industry_InformationTechnology,Industry_Materials,Industry_Real Estate,Industry_Research,Industry_Transport,Industry_Utilities,Ethnicity_Asian,Ethnicity_Black,Ethnicity_Latino,Ethnicity_Other,Ethnicity_White,Citizen_ByBirth,Citizen_ByOtherMeans,Citizen_Temporary
314,1,16.25,0.0,0,0.25,0,0,0,0,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
619,1,18.42,10.415,0,0.125,1,0,0,0,120,375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
529,1,43.25,25.21,1,0.21,1,1,1,0,760,90,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4,1,20.17,5.625,1,1.71,1,0,0,0,120,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
681,1,27.83,1.0,0,3.0,0,0,0,0,176,537,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
117,1,52.5,6.5,1,6.29,1,1,15,0,0,11202,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
346,1,32.25,1.5,1,0.25,0,0,0,1,372,122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
284,1,23.25,12.625,1,0.125,0,1,2,0,0,5552,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
141,0,56.5,16.0,1,0.0,1,1,15,0,0,247,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
137,1,33.58,2.75,1,4.25,1,1,6,0,204,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
662,0,23.5,1.5,1,0.875,0,0,0,1,160,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
79,1,21.5,9.75,1,0.25,1,0,0,0,140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
649,0,35.17,3.75,1,0.0,0,1,6,0,0,200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
675,0,41.58,1.04,1,0.665,0,0,0,0,240,237,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
131,1,20.42,1.835,1,2.25,1,1,1,0,100,150,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
595,1,25.75,0.75,1,0.25,1,0,0,0,349,23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
123,0,44.17,6.665,1,7.375,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
171,1,41.33,0.0,1,15.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
27,1,56.58,18.5,1,15.0,1,1,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
430,1,51.83,3.0,0,1.5,0,0,0,0,180,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
84,1,27.25,0.625,1,0.455,1,0,0,1,200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
398,1,26.17,12.5,0,1.25,0,0,0,1,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
370,1,33.0,2.5,0,7.0,0,0,0,1,280,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
148,0,30.5,6.5,1,4.0,1,1,7,1,0,3065,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
265,1,17.08,0.085,0,0.04,0,0,0,0,140,722,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
454,1,52.42,1.5,1,3.75,0,0,0,1,0,350,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
411,1,25.17,3.0,1,1.25,0,1,1,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
498,1,25.75,0.5,1,1.46,1,1,5,1,312,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
648,1,25.58,0.335,1,3.5,0,0,0,1,340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
40,1,34.17,9.17,1,4.5,1,1,12,1,0,221,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
