iter	Passed	Remaining
0	302	302580
1	478	238771
2	654	217463
3	879	218931
4	1067	21235555	1249	20698966	1407	19961877	1602	19871788	1768	19467799	1978	195858
10	2187	196647
11	2392	196954
12	2564	194706
13	2727	192128114	2932	192554115	3094	190281
16	3272	189255117	3456	188548118	3648	188398119	3811	186752220	4006	186799221	4154	184695222	4335	184156223	4543	184772224	4737	184775
25	4908	183883
26	5095	183637
27	5284	183446
28	5441	182190229	5594	180883330	5770	180370331	5942	179752332	6134	179748333	6278	178371334	6418	176957335	6570	175955336	6782	176536
37	6962	176252
38	7159	176414
39	7303	175275
40	7458	174454
41	7621	173841
42	7809	173800
43	7973	173240
44	8160	173177
45	8304	172224
46	8472	171799
47	8633	171230
48	8824	171275
49	9030	171583
50	9217	171509
51	9416	171666
52	9576	171111
53	9757	170936
54	9927	170578
55	10087	170039
56	10280	170087
57	10413	169134
58	10598	169042
59	10752	168461
60	10920	168109
61	11063	167382
62	11215	166809
63	11371	166306
64	11505	165500
65	11664	165073
66	11814	164567	67	11968	164033
68	12164	164137
69	12330	163815
70	12513	163736
71	12694	163618
72	12882	163584
73	13077	163642
74	13228	163146
75	13369	162545
76	13518	162041
77	13686	161776
78	13855	161534
79	14036	161419
80	14182	160914
81	14365	160826
82	14571	160984
83	14749	160836
84	14889	160279
85	15083	160307
86	15275	160300
87	15422	159831
88	15541	159080
89	15681	158559
90	15849	158317
91	15997	157892
92	16145	157465
93	16328	157378
94	16485	157048
95	16692	157183
96	16840	156773
97	17025	156702
98	17146	156053
99	17329	155964
100	17473	155528
101	17593	154888
102	17762	154692
103	17914	154343
104	18077	154091
105	18246	153889
106	18399	153559
107	18553	153239
108	18722	153044
109	18853	1525411110	19034	1524511111	19171	1520011112	19334	1517711113	19515	151674
114	19709	151674
115	19872	151443
116	19998	1509211117	20145	1505811118	20285	1501811119	20461	1500412120	20616	1497612121	20792	1496312122	20996	149705
123	21149	149413
124	21319	149237
125	21464	148891
126	21637	148734
127	21838	148776
128	21972	148358
129	22161	148310
130	22318	148054
131	22490	147890
132	22647	147631
133	22821	147486
134	23012	147453
135	23150	147075
136	23344	147055
137	23519	146912
138	23660	146558
139	23859	146565
140	24059	146577
141	24229	146401
142	24402	146244
143	24575	146085
144	24777	146098
145	24962	146013
146	25133	145845
147	25298	145636
148	25461	145418
149	25607	145107
150	25752	144795
151	25931	144670
152	26105	144520
153	26258	144251
154	26390	143869
155	26543	143609
156	26720	143473
157	26889	143294
158	27039	143020
159	27177	142682
160	27348	142516
161	27506	142284
162	27676	142118
163	27840	141916
164	27992	1416516165	28153	1414416166	28337	1413516167	28516	1412216168	28699	1411216169	28866	1409317170	28993	1405517171	29146	1403117172	29320	1401617173	29455	1398217174	29594	1395117175	29737	1392217176	29919	1391117177	30070	1388617178	30243	1387117179	30419	1385718180	30608	138497
181	30774	138315
182	30961	1382218183	31133	138070
184	31325	137999
185	31481	1377718186	31601	13738187	31753	137146
188	31908	136917
189	32073	136736
190	32218	136466
191	32387	136296
192	32555	136126
193	32724	135958
194	32885	135757
195	33068	135648
196	33210	135369
197	33394	135265
198	33595	135225
199	33776	135104
200	33959	134994
201	34114	134767
202	34251	134475
203	34385	134171
204	34521	133875
205	34688	133702
206	34833	133442
207	34988	133225
20208	35133	1329620209	35298	1327821210	35500	1327421211	35658	1325421212	35799	1322721213	35984	1321621214	36159	1320221215	36313	1318021216	36473	1316021217	36641	1314321218	36796	1312221219	36972	1310822220	37133	1308922221	37328	1308122222	37493	1306322223	37689	1305622224	37899	130541
225	38081	130419
226	38213	130129
227	38442	130165
228	38630	130060
229	38830	129998
230	39011	129868
231	39183	129709
232	39380	129635
233	39558	129493
234	39748	129395
235	39927	129258
236	40095	129082
237	40268	128927
238	40447	128790
239	40621	128635
240	40815	128543
241	40961	128301
242	41129	128126
243	41281	127904
244	41426	127662
245	41619	127564
246	41814	127476
247	42010	127387
248	42164	127171
249	42327	126982
250	42521	126886
251	42711	126778
252	42869	126574
253	43030	126380
254	43192	126191
255	43353	125996
256	43509	125788
257	43666	125584
258	43819	125368
259	43972	125153
260	44141	124982
261	44335	124883
262	44497	124694
263	44656	124495
264	44882	124485
265	45066	124356
266	45195	124075
267	45338	123836
268	45518	123696
269	45692	123537
270	45866	123381
271	46028	1231927272	46194	1230127273	46349	1228027274	46513	1226227275	46661	1224027276	46837	1222527277	46965	12197278	47129	121793
279	47293	121611
280	47442	121392
281	47631	121273
282	47799	121104
283	47975	120953
284	48141	120775
285	48307	120600
286	48460	120391
287	48627	120218
288	48819	120106
289	48980	119918
290	49124	119687
291	49293	119519
292	49424	119260
293	49580	119061
294	49759	118916
295	49909	118704
296	50076	118531
297	50219	118301
298	50357	118061
299	50492	117816
30300	50634	1175830301	50842	1175130302	51000	1173130303	51168	1171430304	51390	1171030305	51626	1170830306	51914	1171830307	52454	117851
308	52783	118037
309	53035	118047
310	53299	118081
311	53590	118174
312	53796	118076
313	54006	117989
314	54260	117995
315	54528	118030
316	54759	117983
317	54985	117924
318	55201	117843
319	55389	117702
320	55594	117596
321	55754	117395
322	55979	117332
323	56194	117244
324	56350	117035
325	56543	116903
326	56718	116732
327	56915	116608
328	57076	116407
329	57233	116201
330	57398	116010
331	57566	115826
332	57705	115583
333	57917	115489
334	58111	115355
335	58271	115156
336	58440	114973
337	58616	114804
338	58789	114631
339	58981	114492
340	59140	114291
341	59320	114130
342	59477	113925
343	59630	113713
344	59825	113580
345	60006	113422
346	60220	113325
347	60353	113076
348	60536	112919
349	60719	112765
350	60863	112537
351	61063	112411
352	61297	112349
353	61452	112142
354	61594	111910
355	61779	111758
356	61941	111564
357	62096	111357
358	62220	111094
359	62364	110869
360	62516	110658
361	62661	110437
362	62821	110241
363	62974	110032
364	63142	109851
365	63322	109689
366	63478	109486
367	63677	109358
368	63797	109095
369	63950	108888
370	64057	108603
371	64206	108392
372	64360	108187
373	64537	108023
374	64696	107827
375	64874	107664
376	65049	107495
377	65199	107285
378	65369	107109
379	65573	106988
380	65748	106819
381	65932	106665
382	66066	106430
383	66287	106336
384	66440	106131
385	66594	105930
386	66741	105716
387	66954	105608
388	67112	105413
389	67296	105259
390	67453	105061
391	67595	104842
392	67771	104674
393	67951	104514
394	68122	104338
395	68259	104112
396	68370	103846
397	68471	103567
398	68636	103384
399	68812	103218
400	68988	103052
401	69114	102812
402	69287	102641
403	69460	102471
404	69653	102330
405	69829	102164
406	70000	101990
407	70154	101792
408	70317	101607
409	70495	101445
410	70696	101313
411	70857	101126
412	71045	100977
413	71202	100783
414	71374	100612
415	71512	100392
416	71662	100190
417	71861	100055
418	72001	99840
419	72177	99674
420	72326	99471
421	72481	99275
422	72627	99068
423	72792	98887
424	72959	98709
425	73141	98551
426	73351	98431
427	73512	98245
428	73730	98135
429	73890	97947
430	74015	97714
431	74174	97526
432	74322	97323
433	74515	97178
434	74666	96980
435	74821	96787
436	74956	96568
437	75113	96378
438	75289	96212
439	75462	96042
440	75636	95875
441	75797	95690
442	75948	95492
443	76182	95399
444	76369	95246
445	76544	95080
446	76686	94871
447	76863	94706
448	77036	94536
449	77223	94384
450	77424	94248
451	77593	94073
452	77791	93933
453	77963	93762
454	78154	93613
455	78336	93453
456	78507	93281
457	78698	93132
458	78876	92967
459	79003	92743
460	79177	92574
461	79336	92387
462	79510	92218
463	79742	92116
464	79909	91939
465	80113	91804
466	80268	91612
467	80451	91453
468	80661	91324
469	80852	91173
470	81015	90991
471	81187	90820
472	81356	90644
473	81511	90454
474	81674	90272
475	81810	90059
476	81981	89887
477	82134	89694
478	82268	89482
479	82405	89272
480	82550	89072
481	82710	88888
482	82907	88743
483	83087	88580
484	83250	88400
485	83422	88229
486	83592	88054
487	83747	87866
488	83923	87699
489	84089	87521
490	84285	87375
491	84448	87195
492	84592	86994
493	84782	86841
494	84941	86657
495	85104	86477
496	85269	86298
497	85451	86138
498	85629	85972
499	85801	85801
500	85985	85642
501	86136	85449
502	86315	85285
503	86531	85157
504	86716	84999
505	86872	84812
506	87018	84615
507	87207	84460
508	87366	84276
509	87543	84110
510	87741	83963
511	87879	83760
512	88018	83557
513	88185	83381
514	88361	83213
515	88521	83032
516	88656	82826
517	88790	82619
518	88969	82455
519	89122	82266
520	89283	82086
521	89455	81914
522	89633	81749
523	89779	81555
524	89958	81390
525	90103	81196
526	90247	81000
527	90433	80841
528	90619	80683
529	90782	80504
530	90947	80328
531	91130	80167
532	91301	79995
533	91428	79785
534	91586	79603
535	91733	79411
536	91940	79270
537	92110	79098
538	92267	78914
539	92428	78735
540	92584	78551
541	92723	78353
542	92842	78137
543	93021	77974
544	93208	77815
545	93361	77630
546	93506	77437
547	93689	77276
548	93843	77091
549	94004	76912
550	94154	76725
551	94310	76541
552	94459	76353
553	94621	76175
554	94785	75999
555	94924	75802
556	95107	75641
557	95272	75466
558	95427	75283
559	95592	75108
560	95739	74919
561	95915	74752
562	96042	74548
563	96212	74376
564	96387	74209
565	96522	74012
566	96701	73847
567	96880	73683
568	97026	73494
569	97186	73316
570	97358	73146
571	97483	72942
572	97640	72761
573	97804	72586
574	97967	72410
575	98130	72235
576	98302	72065
577	98482	71902
578	98659	71736
579	98853	71583
580	99036	71422
581	99190	71239
582	99386	71087
583	99524	70894
584	99678	70712
585	99864	70552
586	100023	70374
587	100178	70192
588	100331	70010
589	100460	69811
590	100622	69635
591	100784	69459
592	100948	69285
593	101099	69101
594	101278	68937
595	101403	68736
596	101580	68571
597	101746	68398
598	101897	68215
599	102047	68031
600	102211	67857
601	102369	67679
602	102550	67516
603	102685	67323
604	102866	67160
605	103046	66997
606	103203	66819
607	103358	66639
608	103511	66457
609	103671	66281
610	103836	66108
611	103986	65926
612	104134	65742
613	104306	65573
614	104452	65389
615	104638	65228
616	104814	65063
617	104992	64898
618	105113	64698
619	105270	64520
620	105416	64336
621	105568	64155
622	105763	64001
623	105965	63850
624	106138	63683
625	106288	63501
626	106494	63353
627	106696	63202
628	106872	63036
629	107074	62884
630	107206	62692
631	107363	62515
632	107500	62326
633	107714	62182
634	107964	62058
635	108119	61879
636	108286	61707
637	108475	61548
638	108671	61393
639	108855	61231
640	109034	61066
641	109223	60906
642	109386	60732
643	109619	60596
644	109783	60423
645	109908	60228
646	110098	60069
647	110263	59896
648	110457	59738
649	110660	59586
650	110819	59410
651	110997	59244
652	111169	59074
653	111331	58900
654	111498	58728
655	111622	58533
656	111800	58367
657	111924	58173
658	112078	57995
659	112242	57822
660	112455	57673
661	112650	57516
662	112818	57345
663	113011	57186
664	113173	57012
665	113362	56851
666	113529	56679
667	113704	56511
668	113848	56328
669	114023	56160
670	114190	55989
671	114337	55807
672	114486	55627
673	114639	55448
674	114834	55290
675	114971	55104
676	115135	54931
677	115293	54756
678	115449	54579
679	115615	54407
680	115770	54230
681	115906	54044
682	116087	53879
683	116277	53718
684	116424	53538
685	116585	53364
686	116712	53174
687	116887	53007
688	117049	52833
689	117196	52653
690	117368	52484
691	117536	52313
692	117695	52139
693	117855	51965
694	118004	51786
695	118148	51605
696	118287	51421
697	118454	51251
698	118629	51083
699	118799	50913
700	118974	50746
701	119138	50574
702	119331	50414
703	119451	50223
704	119595	50043
705	119732	49860
706	119901	49690
707	120061	49517
708	120241	49351
709	120402	49178
710	120574	49009
711	120765	48849
712	120949	48685
713	121092	48504
714	121228	48321
715	121384	48146
716	121548	47975
717	121705	47800
718	121898	47640
719	122073	47473
720	122238	47301
721	122401	47129
722	122575	46961
723	122730	46786
724	122882	46610
725	123040	46436
726	123207	46266
727	123378	46097
728	123523	45918
729	123691	45748
730	123850	45575
731	123992	45395
732	124120	45211
733	124261	45032
734	124404	44853
735	124522	44665
736	124659	44484
737	124827	44315
738	124990	44144
739	125150	43971
740	125303	43797
741	125467	43626
742	125624	43452
743	125782	43280
744	125960	43113
745	126075	42926
746	126259	42762
747	126441	42598
748	126622	42432
749	126787	42262
750	126952	42091
751	127140	41929
752	127318	41763
753	127483	41592
754	127654	41424
755	127876	41272
756	128069	41110
757	128258	40947
758	128387	40766
759	128509	40581
760	128738	40431
761	128918	40265
762	129116	40105
763	129229	39919
764	129401	39750
765	129556	39577
766	129745	39414
767	129959	39258
768	130110	39083
769	130283	38915
770	130438	38742
771	130640	38582
772	130805	38412
773	130968	38241
774	131152	38076
775	131295	37899
776	131451	37726
777	131634	37561
778	131790	37388
779	131954	37217
780	132111	37045
781	132269	36873
782	132417	36698
783	132543	36517
784	132717	36349
785	132857	36172
786	133027	36003
787	133161	35825
788	133321	35653
789	133460	35476
790	133622	35306
791	133765	35130
792	133929	34960
793	134069	34783
794	134231	34613
795	134364	34435
796	134518	34262
797	134694	34095
798	134812	33914
799	134946	33736
800	135084	33560
801	135246	33390
802	135381	33213
803	135528	33039
804	135663	32862
805	135806	32688
806	135960	32515
807	136089	32338
808	136235	32164
809	136410	31997
810	136588	31831
811	136722	31654
812	136887	31485
813	137033	31312
814	137172	31137
815	137352	30971
816	137519	30803
817	137700	30637
818	137847	30464
819	137980	30288
820	138098	30109
821	138223	29931
822	138343	29753
823	138492	29580
824	138585	29396
